Title,Year,Duration,MPAA,Genres,IMDb_Rating,Director,Stars,Plot_Summary,Votes,Duration_In_Minutes
Once My Mother,2013,1h 15min,Not Rated,"Family, History, War",8,Sophia Turkiewicz,"Zofia Wichlacz, Karolina Porcari, Wenanty Nosul","Australian filmmaker Sophia Turkiewicz investigates why her Polish mother abandoned her and uncovers the truth behind her mother's wartime escape from a Siberian gulag, leaving Sophia to confront her own capacity for forgiveness.",159435,75
The King of Detroit,2014,1h 13min,Not Rated,"Adventure, Comedy",7.7,Ken Kuykendall,"Dave Landau, Mike Bobbitt, Angela Nordeng",Life is a series of firsts. Your first kiss. Your first love. Your first car. The King is American Graffiti for today's generation. A darkly hilarious coming of age tale of friendship and growing up. Long live the King.,135793,73
Ivory Tower,2014,1h 30min,PG-13,"Documentary, Family, History",7,Andrew Rossi,"Elizabeth Armstrong, Richard Arum, Jamshed Bharucha",A documentary that questions the cost -- and value -- of higher education in the United States.,245577,90
Black Eyed Dog,2014,Unknown,Not Rated,Drama,6.9,Erica Dunton,"Mackenzie Foy, Chandler Canterbury, Bryce Hurless","When their mom goes into a coma after being attacked by a ferocious dog, Daisy and Malick must face the troubles that come afterward.",98454,Unknown
La Sapienza,2014,1h 41min,Not Rated,Drama,6.5,Eugène Green,"Fabrizio Rongione, Christelle Prot, Ludovico Succio","At the height of his career, Alexandre decides to set off for Italy with the idea of completing of a book on Borromini. Along with his wife Alienor feels her relationship with Alexandre is gradually slipping away. Along the way they meet siblings Goffredo",191799,101
I Dream of Wires,2014,1h 36min,Not Rated,"Documentary, History, Music",6.6,Robert Fantinatto,"Patti Schmidt, Joel Chadabe, John Mills-Cockell",The history and resurgence of the electronic modular music synthesizer.,39380,96
Watchers of the Sky,2014,2h,Not Rated,"Documentary, Biography, History",7.3,Edet Belzberg,"Benjamin Ferencz, Raphael Lemkin, Matt Mitler","Four modern stories of remarkable courage while setting out to uncover the forgotten life of Raphael Lemkin, the man who coined the term 'genocide'. Inspired by Samantha Power's Pulitzer Prize-winning book, 'A Problem From Hell', 'Watchers of the Sky' tra",85971,120
Champs,2014,1h 25min,Not Rated,"Documentary, Biography, Sport",7.2,Bert Marcus,"Evander Holyfield, Bernard Hopkins, Mike Tyson","A documentary on boxing greats Mike Tyson, Evander Holyfield and Bernard Hopkins examines their lives in and out of the ring.",65320,85
The Lost Key,2014,1h 28min,Not Rated,"Documentary, Biography, Romance",7.4,Ricardo Adler,"Paul Fellermeier, Manis Friedman","An ancient Kabbalistic secret was kept hidden for centuries, but now filmmaker Ricardo Adler and leading Rabbis of this generation are breaking a historical tradition and revealing it for the first time.",370303,88
Love Me,2014,1h 30min,Not Rated,"Documentary, Comedy, Drama",6.5,Jonathon Narducci,Unknown,"Is there such thing as love before first sight? This doc explores the mail-order bride industry, chronicling on a group of Ukrainian women and the Western men they marry, in a search for modern love.",298929,90
Crazywater,2013,56min,Not Rated,Documentary,7.6,Dennis Allen,Unknown,A revealing exploration of substance abuse among First Nations people in Canada.,149257,56
Jäger des Augenblicks - Ein Abenteuer am Mount Roraima,2013,1h 38min,Not Rated,Documentary,7.1,Christian Lonk,"Kurt Albert, Stefan Glowacz, Holger Heuber","When longtime climbing partners Kurt Albert, Holger Heuber and Stefan Glowacz embark on an expedition to Mount Roraima, a table mountain shrouded in legend, this group of experienced climbers have no idea what they got themselves into.",100536,98
The Second Meeting,2013,1h 26min,Not Rated,Documentary,8.3,Zeljko Mirkovic,"Zoltan Dani, Iren Dani, Atila Dani",In 1999 as NATO forces bombard Belgrade city USAF pilot Dale Zelko begins his sortie into nearby Belgrade target flying his F-117 stealth bomber. On the opposite side a Serbian colonel Zoltan Dani commands his solders to detect and destroy enemy bombers w,84938,86
Fading West,2013,1h 24min,Not Rated,"Documentary, Family, Music",8.6,Matt Katsolis,"Chad Butler, Tom Curren, Tom DeLonge","Inspired by films including ""Rattle and Hum'' and ""Endless Summer,"" Fading West follows Grammy-winning alternative-rock band Switchfoot as they travel the globe in search of new musical inspiration and perfect waves. Filmed during Switchfoot's 2012 World",188783,84
Wheelchair Mary,2013,Unknown,Not Rated,Thriller,8.7,Anthony Azar,"Brandy Hudsucker, Sandra Brothers",This is a movie about a curse and the dangers of being a camper in the cursed woods.,108,Unknown
Banksy Does New York,2014,1h 19min,Not Rated,Documentary,7.2,Chris Moukarbel,"Beth Stebner, Keegan Hamilton, Jaime Rojo","Documentary chronicling the famed street artist's ""31 works of art in 31 days"" in New York city.",101969,79
Under the Electric Sky,2014,1h 25min,PG-13,"Documentary, Music",6.5,Dan Cutforth,"Avicii, Fatboy Slim, Calvin Harris","More than 350,000 people celebrate electronic dance music at the 2013 Electric Daisy Carnival.",63116,85
Friends and Romans,2014,1h 37min,Not Rated,Comedy,7.1,Christopher Kublan,"Michael Rispoli, Annabella Sciorra, Paul Ben-Victor",Art intersects life when real mobsters and federal agents mistake a handful of hapless Italian-American actors for genuine Italian wise-guys.,10969,97
The Group,2014,1h 37min,Not Rated,"Documentary, Biography, History",6.8,Jacob McEndollar,"Ginger A. Carlson, Stephen M. Hall, Ian A. Laks","Across the country there exists a network of adolescent drug abuse programs known, collectively, as The Group. This organization, while claiming to have rescued thousands of teens from the horrors of drug addiction, has been repeatedly accused of using cu",146032,97
Fishing Without Nets,2014,1h 49min,R,"Drama, Thriller",6.5,Cutter Hodierne,"Abdiwali Farrah, Eric Godon, Abdikhadir Hassan",A drama the follows a Somali who opts in on a piracy mission but then tries to extricate himself from the events.,107974,109
Pretty Perfect,2014,1h 38min,Not Rated,"Drama, Romance, Thriller",7.3,York Alec Shackleton,"Christopher McDonald, Sarah Sutherland, Noel Gugliemi","For talented but struggling LA artist, Conner, nothing in life seems to have turned out quite the way he expected - But things suddenly start to look up when he meets the magnetic if troubled Eden.",220817,98
Leaving Circadia,2014,1h 26min,Not Rated,"Comedy, Drama, Romance",6.6,Evan Mathew Weinstein,"Michael Cerveris, Winter Williams, Christian Coulson",A group of guys living in a Brooklyn brownstone find their way through the harsh realities of life as they enter into their 30's.,331799,86
Finding Fela,2014,1h 59min,Not Rated,"Documentary, Biography, History",7.1,Alex Gibney,"Fela Kuti, Yeni Kuti, Femi Kuti",A look at the life and music of Nigerian singer Fela Kuti.,304829,119
Town Hall,2013,1h 25min,Not Rated,"Documentary, Family, News",7.4,Sierra Pettengill,Unknown,"An inside look into two years in the lives of Katy and John, Tea Party activists from Central Pennsylvania, as they fight to preserve the America they fear is slipping away.",140834,85
Hellhounds,2013,1h 13min,TV-MA,"Adventure, Drama, Fantasy",7.2,Eric Widing,"Sonny Burnette, Rachel Carter, Joshua Collins","A first person account of Ross Graves, an alcoholic drifter who is constantly hunted by demonic bounty hunters and a spiritual being to whom he sold his soul.",19143,73
Redemption,2014,1h 46min,Not Rated,"Drama, Mystery, Thriller",8.7,Tim Martin Crouse,"Roberto Aguire, James Aronson, Mauricio Bustamante","'Redemption' is a dark thriller about a man piecing his life back together after a series of personal misfortunes. As he is driven to redeem himself, he becomes entangled in the dark underbelly of his small town. Soon his quest takes a violent turn and hi",167,106
Highway to Dhampus,2014,1h 40min,PG,"Drama, Romance",7.5,Rick McFarland,"Rachel Hurd-Wood, Gunner Wright, Suesha Rana","When Laxmi, headmistress of a small orphanage in Nepal, is visited by a rich socialite attempting to fix her image through charitable acts, a chain of events is set in motion that affects everyone involved.",160768,100
Out of Nothing,2014,1h 30min,Not Rated,"Documentary, Biography, Family",6.8,Chad DeRosa,"Mark Bjorklund, Carl Bjorklund, Jason Omer","From the Pacific Northwest to the Bonneville Salt Flats in Utah, this is the inspiring true story of four tenacious men who risk everything to conquer the world records of motorcycle land speed racing. Their extraordinary journey will remind you how perse",33850,90
Sprouting Orchids,2014,1h 10min,Not Rated,"Mystery, Romance, Sci-Fi",7.3,Gregory Austin McConnell,"Kyle A. Hammonds, Jessie Bowers, Andrea Cappuzzo",A young man and woman recover from separate tragedies. Unseen forces in the universe work to bring them together for a purpose far greater than themselves.,266253,70
Campin' Buddies,2014,1h,Not Rated,"Action, Comedy",6.5,Tom Logan,"Victoria Jackson, Don Most, Tom Lester",Two backwoods amigos (Tom Lester and Ray Stevens) enter a contest to win a hillbilly bus and hilarity ensues.,365914,60
Advanced Style,2014,1h 12min,Not Rated,"Documentary, Biography, Comedy",7.2,Lina Plioplyte,"Iris Apfel, Joyce Carpati, Ari Cohen",Advanced Style examines the lives of seven unique New Yorkers whose eclectic personal style and vital spirit have guided their approach to aging.,123012,72
Concerning Violence,2014,1h 30min,Not Rated,"Documentary, Drama, History",7.5,Göran Hugo Olsson,"Lauryn Hill, Kati Outinen, Gayatri Chakravorty Spivak",The most daring moments in the struggle for liberation from colonial rule.,58221,90
Ever,2014,1h 37min,Not Rated,"Drama, Romance",7,Josh Beck,"Wendy McColm, Christina Elizabeth Smith","While struggling to cope with the death of her boyfriend, a young woman begins to form romantic feelings for her new supportive female friend.",326502,97
One Little Pill,2014,50min,Not Rated,"Documentary, Drama, News",7.9,Adam Schomer,Claudia Christian,"Worldwide, alcohol abuse kills more people than HIV, nearly 3.3 million per year. Profiling recovering alcoholics, medical professionals and justice practitioners, this investigation exposes the benefits of a little-known drug Naltrexone.",2574,50
The Last Patrol,2014,1h 27min,Not Rated,Documentary,6.8,Sebastian Junger,Brendan O'Byrne,Two journalists and two veterans examine war.,284464,87
A Man Called God,2014,1h 47min,Not Rated,"Documentary, Biography, News",8.1,Christopher St. John,"Maria Lennard, Kristoff St. John","A Man Called God is a remarkable movie that has its roots in the 1970's in the careers of two men: Blaxploitation actor Christopher St. John, whose best-known credit is probably as the leader of the ""Lummumbas,"" the Black nationalist group who work with B",90007,107
Song from the Forest,2013,1h 38min,Not Rated,"Documentary, Biography, Music",6.6,Michael Obert,"Louis Sarno, Samedi Mathurin Bokombe, Jim Jarmusch","25 years ago, Louis Sarno, an American, heard a song on the radio and followed its melody into the Central Africa Jungle and stayed. He than recorded over 1000 hours of original BaAka music. Now he is part of the BaAka community and raises his pygmy son,",235069,98
Finnigan's War,2013,54min,Not Rated,"Documentary, War",9.1,Conor Timmis,"Mark Hamill, Kurt Chew-Een Lee, Tibor Rubin","To commemorate the 60th anniversary of the Korean War, actor/filmmaker Conor Timmis sets out on a year long journey to honor his late grandfather and the heroes of America's forgotten war. Narrated by Mark Hamill.",14,54
Honor Diaries,2013,1h 1min,Not Rated,"Documentary, Crime, News",7.9,Micah Smith,"Raheel Raza, Raquel Evita Saraswati, Juliana Taimoorazy",Several Muslim women activists discuss their stories and the state of women's rights in Muslim-majority nations.,10179,61
Shortcuts to Hell: Volume 1,2013,Unknown,Not Rated,Horror,7,Debbie Attwell,"Dominic Brunt, Jon Campling, Leo Charlton","Movie Mogul, FrightFest and the Horror Channel showcase emerging horror talent, served up as 26x 3min bite sized short films, from new UK Directors.",321666,Unknown
Girl of My Dreams,2013,1h 24min,Not Rated,"Horror, Mystery",7.5,Sam Farmer,"Christopher James Forrest, Michelle Eggers, Tyler C. Patton",The life of a high school student is complicated when he witnesses his new girlfriend brutally murder their classmates in his dreams-and they end up dead in the waking world.,36597,84
Still the Enemy Within,2014,1h 52min,Not Rated,"Documentary, History",7.8,Owen Gower,"Norman Strike, Paul Symonds, Steve Hammill","Still the Enemy Within is a unique insight into one of history's most dramatic events: the 1984-85 British Miners' Strike. No experts. No politicians. Thirty years on, this is the raw first-hand experience of those who lived through Britain's longest stri",150792,112
Bonobo,2014,1h 43min,Not Rated,Drama,7.3,Mark Withers,"Caroline Langrishe, Christopher Hatherall, Greg Barnett","A happily married young couple must carefully evaluate their relationship and trust in one another, plus own moral standing when a potentially seedy yet highly financial offer is presented to them in a time of recession.",326940,103
Secrets of the Magic City,2014,1h 55min,TV-14,"Comedy, Drama, Mystery",6.6,R. Malcolm Jones,"Erika Alexander, Vanessa Baden, Sharlene Betancourt",Secrets is a gritty story filled with hope and the will to survive.,122972,115
"You Belong to Me: Sex, Race and Murder in the South",2014,1h 28min,Not Rated,"Documentary, Crime, Drama",6.7,John Cork,"Gleene Harrell, Tameka Bradley Hobbs, Eric Musgrove","Over sixty years ago, a murder rocked Live Oak, Florida, and awakened the nation. Today, the ghosts still remain.",312562,88
Yeezus,2014,2h 20min,Not Rated,"Music, Musical",8.2,Jediswag,Ye,Compiling footage from almost every stop on the Yeezus tour to make one cohesive film. Using professional and guerrilla style footage. The film flows beautifully and not a single major aspect of the Yeezus tour goes unnoticed. Detail was crucial and over,79030,140
Shadow of Doubt,2013,1h 20min,Not Rated,Documentary,8.5,Eve Ash,Unknown,"Bob Chappell disappeared... his partner Sue was the only suspect in the eyes of the Tasmania police. She faltered on details, they were convinced she was a liar AND a murderer. Her family fight to overturn a 26 year conviction.",196578,80
Adventures of Bailey: A Night in Cowtown,2013,1h 25min,Not Rated,"Comedy, Family",6.5,Steve Franke,"Frank Mosley, Mark Hanson, Trey Bumpass","Fresh from selling their company, the Baker family has moved into a posh new home. Bailey seems to be living the life and even has a crush on a pretty female dog, Trixie. But things get turned upside down when Felix, the adorable Pomeranian Trixie's famil",23614,85
The Return of Elias Urquijo,2013,1h 43min,Not Rated,"Drama, Mystery, Thriller",7.5,Roque Madrid,"Coralie Audret, Xavier Lafitte, Pierre Kiwitt","A young couple has rented an old, remote house by the Mediterranean sea for the summer. There they meet Elias Urquijo, an enigmatic children books writer, whom they quickly befriend. However, something in the house seems to react to the presence of the gu",184630,103
Blumenthal,2013,1h 26min,Not Rated,Comedy,6.7,Seth Fisher,"Brian Cox, Laila Robins, Fred Melamed","A comedy that follows the relatives of Harold Blumethal, a legendary playwright who made his career parodying his family in his work and died laughing at his own joke.",396549,86
Shooting Bigfoot,2013,1h 30min,Not Rated,Documentary,6.6,Morgan Matthews,"C. Thomas Biscardi, Wayne Burton, Rick Dyer",A documentary filmmaker is injured and shaken after joining three groups of men from the world of bigfoot hunting.,293906,90
Catch of the Day,2013,1h 13min,Not Rated,"Drama, Horror, Thriller",7.4,Michael Leavy,"Gilbrando Acevedo, Krista Ayne, Ed Heavey","Within a small country town, people are disappearing without a trace. It's up to one big city detective to discover if they're simply runaways or if there's something much more sinister at work.",99756,73
Suicide Notes,2013,1h 40min,Not Rated,Comedy,7.6,Travis Ammons,"Lou Martini Jr., Sue Rock, Jared Doreck","Down on his luck playwright, Julian Parker, has written a play in which the lead character commits suicide in the final scene. The only way he can get it produced is when a money hungry producer named Marla French offers to produce the play for a limited",190972,100
Golden Gate Girls,2013,1h 30min,Not Rated,"Documentary, Biography, History",8,Louisa Wei,"Law Chung-Long, Esther Eng, Graham Hodges","Surprising or not, the first female director of Southern China was a San Francisco native and an open lesbian. Esther Eng, 1914-70, was a true pioneer. She made 11 Cantonese language films: one in Hollywood, five in China, three in California, one in Hawa",78861,90
The Greatest Knight: William Marshal,2014,Unknown,Not Rated,Documentary,7.2,Jack Macinnes,Tom Asbridge,England greatest knight who served under 5 kings and story is told in an ancient manuscript of French verse.,383008,Unknown
Giuseppe Makes a Movie,2014,1h 22min,Not Rated,Documentary,7.7,Adam Rifkin,"Giuseppe Andrews, Vietnam Ron, Joey Murcia","Director Adam Rifkin's wildly surreal, outrageously funny and strangely touching documentary about a truly Outsider Artist, Guiseppe Andrews, who has made 30 movies starring the seriously-impaired residents of his trailer park.",149358,82
The Notorious Mr. Bout,2014,1h 30min,Not Rated,Documentary,6.6,Tony Gerber,"Sergei Bout, Wim Brown, Alla Vladimirovna But","When he was arrested in 2008 in Thailand as a result of a U.S. government sting operation, the career of internationally known arms smuggler Viktor Bout came to a decisive end. Veiled by the obscurity of post-Soviet Russia, Bout had built an empire of aer",123409,90
Redemption of the Commons,2014,1h 31min,Not Rated,Drama,7.4,K.T. Terry,"Jeremy Marr Williams, Susan Loraine Anderson, Ed Silvera","Victor seems to have it all together - good looks, his own branding company, and life in L.A. But appearances can be deceiving, because in reality, he's broke, living out of his van, $93,000 in debt and still looking for the ever-elusive purpose of his li",248486,91
Jayhawkers,2014,1h 46min,Not Rated,Biography,7,Kevin Willmott,"Kip Niven, Justin Wesley, Blake Robbins","A group of unlikely allies modernized college sports and changed a small Midwestern town, serving as a parallel to the Civil Rights movement that would transform the entire American society.",277171,106
Back on Board: Greg Louganis,2014,1h 30min,Not Rated,"Documentary, Biography, Sport",7.5,Cheryl Furjanic,"David Boudia, Jimmy Carter, Sergei Chalibashvili","Feature-length documentary about the greatest diver of all time. Four-time Olympic champion Greg Louganis has faced more than his share of challenges. In 2011, he is far from the public eye and struggling to pay his mortgage. Now, the openly gay, HIV+ wor",64135,90
9 Hours,2014,9h 9min,Not Rated,Drama,8.2,Ryan Løkken,"Niv Dayan, Sarah Lærke","A fashion film. A couple spend 9 hours together, before they are split by an ocean.",79890,549
Spiritual Contact: The Movie,2013,1h 6min,Not Rated,Thriller,8,Emerson Pinheiro,"Adam Wilson, Nick Quye, Lousa Leal","Since the age of 11, Jeremiah has had an unknown gift. An 11th birthday present that he was unaware of, Jeremiah could see through to a parallel world which too many only exists in book and stories. The ability to see the paranormal world is what sets Jer",101590,66
3.50,2013,1h 47min,Not Rated,"Crime, Drama, Thriller",7.6,Bora Chhay,"Cheanick Doung, Leang Honglee, Kwanlar Nyirady","When a young Cambodian village girl is sold off into prostitution, a brash American documentary filmmaker ventures deep into the underbelly of Phnom Penh to pursue her story and rescue the girl, crossing paths with various other lives affected by the unsp",137641,107
When I Walk,2013,1h 24min,Not Rated,Documentary,7.3,Jason DaSilva,Alice Cook,"When I Walk is one man's emotional and inspiring journey during six years of life following his multiple sclerosis diagnosis. For Jason DaSilva, life's most challenging and joyous moments are yet to come.",264040,84
Everything Went Down,2013,1h 26min,Not Rated,"Comedy, Drama, Musical",6.9,Dustin Morrow,"Noah Drew, Kate Tucker, Joe Homes","A young professor has become a shell of a person following the death of his wife. Crippled by a numbing grief, he's shut himself off from the world. At the same time, a young singer-songwriter has lost faith in the struggle to make a name for herself as a",94954,86
The American Dream,2013,1h 33min,PG-13,Drama,7.6,Robert Wakamatsu,"Gian Shaw, Hannibal Thompson, Marcus D. Spencer",The American Dream embarks on a journey with two college bound football buddies. They must decide between the fast money on the streets and keeping on a straight path.,13154,93
I Am Breathing,2013,1h 12min,Not Rated,"Documentary, Biography",7.1,Emma Davie,Neil Platt,"A documentary follows the last months of Neil Platt, a young father with terminal and debilitating motor neuron disease (MND).",271326,72
Shekinah: The Intimate Life of Hasidic Women,2013,52min,Not Rated,"Documentary, Family, Romance",9.2,Abbey Neidik,"Chanie Charlebach, Yisroel Bernath","Shekinah takes us into the rarefied world of young hasidic women. Although they have rules for almost everything, their lives are filled with passion. With unprecedented access, Shekinah will capture the intimate details of every aspect of how they live a",48,52
A Star for Rose,2013,1h 38min,Not Rated,Drama,7.8,Daniel Yost,"Debbie Allen, John Savage, Tara Walker","Small town girl Marcy (Tara Walker) comes to LA with stars in her eyes, thinking she can make it big on ""Search For A Star."" Instead, with little money and no friends, she finds herself sleeping in her car. Things dramatically change when she meets Rose (",71137,98
The Tenor,2014,2h 1min,Not Rated,"Biography, Drama, Music",6.7,Sang-man Kim,"Yoo Ji-tae, Yûsuke Iseya, Cha Ye-ryun","The talented Korean tenor, Bae, who penetrate the audience's hears through his delicate and powerful singing, is on the rise to stardom at the European opera scene. Sawada, a Japanese music producer, is searching for a new tenor for an upcoming performanc",101070,121
Pelican Dreams,2014,1h 20min,G,Documentary,6.8,Judy Irving,"Mark Bittner, Laura Corsiglia, Jacky Douglas","Judy Irving (""The Wild Parrots of Telegraph Hill"") follows a wayward California pelican from her ""arrest"" on the Golden Gate Bridge into care at a rehab facility and explores nesting grounds, Pacific coast migration and survival challenges.",170255,80
Reality TV Movie,2014,1h 29min,Not Rated,Comedy,8,Tytus Bergstrom,"Li Wen Ang, David Weise","A shy nerd, Bergie Barnsworth, wants to audition for the new realty TV show, Chance Of Your Life, in hopes of dancing with the Asian pop star, Lolli Pop. With little talent, and a painfully shy attitude towards the opposite gender, Bergie wins over the ju",79063,89
The Battle of the Somme,2014,1h 14min,Not Rated,Documentary,6.9,Unknown,Unknown,Digitally restored version with choice of three soundtracks in 5.1 and stereo: newly commissioned orchestral score; recreation of original recommended medley; commentary by Keeper of Imperial War Museum's Film and Photographic Archives.,192819,74
The Regulators,2014,1h 24min,Not Rated,"Documentary, History, War",8.9,Christopher Laforet,"Andrew Acasid, Amanda Barton, Chesler Bennett","'The Regulators' documents a pre-Revolutionary resistance movement that flourished in the colony of North Carolina. Living in a time fraught with rampant abuses of taxation and widespread corruption in the courts, the Regulation supporters petitioned that",125,84
Utopia,2013,1h 52min,Not Rated,"Documentary, History, News",7.7,Alan Lowery,"John Pilger, Jon Altman, Pat Anderson","Exploring offenses practiced by popular media, big business, police forces and Governments helping the Australian 225 year campaign of genocide continue against Aboriginal Australians.",178725,112
Faan se trein,2014,1h 51min,Not Rated,Drama,6.9,Koos Roets,"Willie Esterhuizen, Deon Lotz, Marius Weyers","He's a little slow and a little confused much of the time, but mostly he's harmless.",257601,111
One Million Dubliners,2014,1h 20min,Not Rated,"Documentary, Drama, History",7.8,Aoife Kelleher,Unknown,There are one million stories in Glasnevin Cemetery. Including one you'll never forget.,179729,80
Dark Hearts,2014,3h,Not Rated,"Horror, Thriller",7.6,Neal Edelstein,"Jonah K Anderson, Jasmine Berg, Jenna Berman","After going missing a month earlier, Melissa Strogue returns home.",187307,180
Haus Tugendhat,2013,1h 57min,Not Rated,Documentary,6.7,Dieter Reifarth,"Daniela Hammer-Tugendhat, Ruth Guggenheim-Tugendhat, Ernst Tugendhat","Reifarth relates the history of the Tugendhat House and family from the perspectives of the Tugendhat children. The Tugendhat House is also presented in the social, political and cultural context of the modern Republic of Czechoslovakia formed after World",155038,117
House Call,2013,Unknown,Not Rated,Horror,8.1,Shannon Casto,"Chi, Bill Dubois, Roger Dunn","When 16-year-old Mariam's little brother Vince falls ill on her watch, she calls their family doctor to make a house call. But when the doctor ends up dead, nothing prepares the children for the night of terror that follows. Adapted for the screen by Shan",142758,Unknown
Color,2013,1h,Not Rated,"Drama, Fantasy",8.2,James Brady,"Alphonsus McFadden, Roberto Lombardi, Allison Persaud","From the mind of James Brady, ""COLOR"" is a film about a group of 12 iconic figures who have an 'Alice in Wonderland' adventure while traveling through their own shared emotional roller coasters. All caused by Color.",72176,60
The Language of the Unknown: A Film About the Wayne Shorter Quartet,2013,56min,Not Rated,"Documentary, Music",7.9,Guido Lukoschek,"Brian Blade, Herbie Hancock, John Patitucci","The story explores musicians' creative process, insights into their music's essence beyond virtuosity through observing their reactions to past performances.",66306,56
Who Killed Gandhi?,2013,1h 30min,Not Rated,"Documentary, Biography, Crime",7.3,Anand Ramayya,Unknown,"Who Killed Gandhi? is an investigation into assassin Nathuram Vinayak Godse, his mentor Vinakay Damodar Savarkar, and the murder of a man considered by many to be a saint and the father of modern India, Mahatma Gandhi. The story of the characters involved",162975,90
Déjame Vivir,2014,1h 2min,Not Rated,"Documentary, Adventure",7.4,Sèbastien Montaz-Rosset,"Kilian Jornet, Bruno Brunod, Matteo Jacquemoud","From Mont Blanc to Mount Elbrus, experience the peaks from the breathtaking perspective of sky runner Kilian Jornet and his friends.",38517,62
The Heckler,2014,1h 32min,Not Rated,Comedy,7.6,Ben Plazzer,"Simon Mallory, Chris Fortuna, Emily Taheny","A self-obsessed comedian on the fast track to fame, has his body hijacked by the spirit of a jealous heckler and must find a way to reclaim it before the imposter ruins his career forever.",140983,92
From Runes to Ruins,2014,Unknown,Not Rated,"Documentary, History",8.9,Tom Rowsell,Unknown,"From Runes to Ruins is the first ever documentary film about Anglo-Saxon paganism. All over Britain there are people whose lives are influenced by the largely forgotten culture of the Anglo-Saxon barbarians who founded England. There are landmarks, place",145,Unknown
VHS Forever? Psychotronic People,2014,1h 31min,Not Rated,Documentary,6.7,Darren J. Perry,"Rick Baker, Mark J. Banville, Gary Baxter",A feature length documentary taking a look at the explosion of movies that became available on VHS in the U.K. Taken from the perspective of those who tried to unearth that elusive movie at all costs known as psychotronic cinema.,210265,91
Destiny,2014,1h 45min,PG-13,"Drama, Music, Romance",8.1,Jeremy Whittaker,"Karian Sang, Sabrina Diana Colie, Kerstin Whittaker","Lisa Collen visits Jamaica from Toronto, Canada to sell her family's estate. Complexities soon present themselves to her when she meets a musician under the watchful eye of her family.",171606,105
The Axeman of Henderson County,2014,1h 14min,Not Rated,"Crime, Horror, Thriller",7,Larry Parmiter,"Jim Duggan, Major Harris, Rush Whitacre","A small town is terrorized by an axe-wielding serial killer in this campy, tongue in cheek thriller/comedy.",57936,74
Matt Shepard Is a Friend of Mine,2014,1h 29min,Not Rated,"Documentary, Biography, History",7.6,Michele Josue,"Judy Shepard, Zeina Barkawi","Friends and family reflect on the life and death of 21-year-old Matthew Shepard, who was murdered in a targeted homophobic attack in Wyoming in 1998.",123717,89
Eagles Nest,2014,1h 30min,Not Rated,Action,8.5,Shane Cole,"Prince Edmund Bailey, Andy Baker, Dave Bannister",A Modern day Nazi death squad embark on a covert mission to recover lost treasure in south america and only handful of British mercs stand in their way.,10951,90
Adrenalin: The BMW Touring Car Story,2014,2h 3min,Not Rated,"Documentary, Sport",8.6,Tim Hahne,"Johnny Cecotto, Augusto Farfus, Hubert Hahne",ADRENALIN brings the exciting and successful BMW touring car story to the big screen. 50 years of a spectacular sport played out at race circuits around the world. Charismatic drivers and evocative racing cars from five decades plot the growth of the spor,187665,123
Cru,2014,1h 25min,TV-14,Drama,6.5,Alton Glass,"Taran Braxton, Ashanna Bri, Jermaine Crawford","When four high school best friends' lives are dramatically changed on the night of a near fatal accident, eighteen years later they're reunited, only to discover that a set of past and present secrets will alter the course of their futures forever.",280648,85
E-Team,2014,1h 28min,Not Rated,"Documentary, War",7.1,Katy Chevigny,"Anna Neistat, Ole Solvang, Peter Bouckaert","When atrocities are committed in countries held hostage by ruthless dictators, Human Rights Watch sends in the E-Team (Emergencies Team), a collection of fiercely intelligent individuals hired to document war crimes and report them to the rest of the worl",334169,88
The Distance Between Us,2014,1h 57min,Not Rated,"Drama, Romance",7.1,Chandu Yarram,"Rahul Rai, Leah Kavita, Ariane Mallon","The Distance Between Us tells the story of a love affair between two young Indian immigrants, Megha and Ravi, who work as software engineers. For Megha, her career is an opportunity to break free from the shackles of poverty; however, her success does not",100351,117
Only in L.A.,2013,1h 24min,Not Rated,"Comedy, Crime, Drama",8.1,Robert Filios,"Jus Riddick, Haley Strode, Paul Elia","Set in and around Los Angeles, we follow a series of vignettes that capture a unique moment of love, hate, clarity, confusion, triumph, and failure among our characters' relationships with one another and with the city itself.",118696,84
"A Fragile Trust: Plagiarism, Power, and Jayson Blair at the New York Times",2013,1h 15min,Not Rated,"Documentary, Biography, News",6.6,Samantha Grant,"Jayson Blair, Macarena Hernández, Robert Rivard",Jayson Blair is the most infamous serial plagiarist of our time. He unleashed the massive scandal that rocked the New York Times and the entire world of journalism.,258069,75
Contradiction,2013,1h 35min,PG-13,"Documentary, History",7.5,Jeremiah Camara,"Norm Allen, Dan Barker, Anthony David",Contradiction addresses the saturation of churches in African American communities coexisting with poverty and powerlessness. Why are there so many churches yet so many problems? Is there a correlation between high-praise and low productivity?,98725,95
Whitney Houston: We Will Always Love You,2013,1h,Not Rated,"Documentary, Music",6.6,Maureen Goldthorpe,"Clive Davis, Shirley Halperin, Whitney Houston","Showcases interviews with artists and industry insiders and revisits some of Whitney Elizabeth Houston's performances, following her steps to stardom and the height of her diva days.",244389,60
Poker Night,2013,1h 23min,Not Rated,"Comedy, Crime",7.2,Chris John,"Benz Antoine, Alex Appel, Rosario Arce","While Marty is watching over his parent's home for the weekend, his buddies talk him into hosting a poker night but they don't tell him that the winning prize for the game is a hooker.",101559,83
