Title,Year,Duration,MPAA,Genres,IMDb_Rating,Director,Stars,Plot_Summary,Votes,Duration_In_Minutes
Candlewood,2024,1h 46min,Not Rated,"Horror, Thriller",8.2,Myke Furhman,"Carolyn McCormick, Joel Bryant, Lisann Valentin","A blended family from the city buys a house sight unseen in an isolated backwoods hamlet. Things get rocky when the locals aren't as welcoming as expected and a dangerous urban legend turns out to be true. In their struggle to put down roots, they find th",31000,106
Kintsukuroi,2024,2h 10min,Not Rated,Drama,9.5,Kerwin Berk,"Ryan Takemiya, Kealani Kitaura, Ken Takeda","With a stroke of his pen President Roosevelt destroyed the lives of 120,000 Japanese Americans at the onset of World War II. From the windswept prison camps of the American West to the the battlefields of Europe, KINTSUKUROI follows the lives of two of th",31000,130
Human Nature,2022,1h 50min,Not Rated,Adventure,7.2,Bart Schrijver,"Jamie Bouwmeester, Ellen Helinder, Huub Smit",Sophie decides to hike 500 kilometers through the Arctic region of Norway. She wants to get away from the pressure everyday life. But life at home doesn't seem to understand her desire to go be by herself.,277015,110
Tiger,2024,1h 30min,PG,Documentary,7.9,Mark Linfield,Priyanka Chopra Jonas,"Lifts the veil on our planet's most revered and charismatic animal, inviting viewers to journey alongside Ambar, a young tigress raising her cubs in the fabled forests of India.",31000,90
Jane Austen Wrecked My Life,2024,1h 34min,Not Rated,Romance,7.3,Laura Piani,"Charlie Anson, Liz Crowther, Annabelle Lengronne","A desperately single bookseller, lost in a fantasy world, finds herself forced to fulfil her dreams of becoming a writer in order to stop messing up her love life.",31000,94
Neptune Frost,2021,1h 45min,Not Rated,"Musical, Sci-Fi",6.5,Anisia Uzeyman,"Cheryl Isheja, Elvis Ngabo, Diogène Ntarindwa","An intersex African hacker, a coltan miner and the virtual marvel born as a result of their union.",337410,105
The Fable,2024,1h 59min,Not Rated,Drama,6.9,Raam Reddy,"Manoj Bajpayee, Ravi Bisht, Priyanka Bose","Dev owns orchards and lives on a sprawling estate. After finding burnt trees Dev monitors workers and Nomads fall under suspicion. Despite night guards, a huge fire engulfs the mountainside. Dev uses violence in his search.",31000,119
Nutcrackers,2024,1h 44min,Not Rated,"Comedy, Drama",7.2,David Gordon Green,"Linda Cardellini, Ben Stiller, Edi Patterson","In the most unlikely of places, four siblings find a loving shelter in an unexpected turn of circumstances. This endearing comedy-drama draws inspiration from actual events and deftly crafts a gripping story that unites everyone.",31000,104
The Forgotten Battle,2020,2h 4min,TV-MA,"Action, Adventure",7.1,Matthijs van Heijningen Jr.,"Gijs Blom, Jamie Flatters, Susan Radder","In WWII's final years, a soldier in the German army, a British glider pilot, and a Dutch resistance fighter's paths intertwine. Their choices shape destinies, impacting not only their freedom but also that of others.",65419,124
The Childe,2023,1h 58min,Not Rated,"Action, Drama, Thriller",6.8,Park Hoon-jung,"Go Ara, Justin John Harvey, Kwon Hyuk-hyun","""The Childe"" focuses on a man born to a Korean father and a Filipino mother who aspires to be a boxer. He travels back to Korea in the hopes of tracking down his father, and in the process, he gets mixed up with some bad people.",20661,118
Saturn Return,2024,1h 49min,Not Rated,"Drama, Music",7,Isaki Lacuesta,"Daniel Ibáñez, Cristalino, Stéphanie Magnin","Late 1990s. Art and culture are in full swing in Granada. Against that background, an indie band is about to change the music scene in Spain. Just before creating their new album, the band is going through its worst possible moment.",31000,109
Without Blood,2024,1h 31min,Not Rated,"Drama, War",7.4,Angelina Jolie,"Salma Hayek, Demián Bichir, Juan Minujín","A parable-like tale exploring themes of family, war, and revenge",31000,91
Clouds,2020,2h 1min,PG-13,"Biography, Drama, Music",7.5,Justin Baldoni,"Fin Argus, Neve Campbell, Sabrina Carpenter","Based on real events, a young musician discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",99426,121
Buffalo Kids,2024,1h 33min,Not Rated,"Animation, Adventure, Comedy",7,Juan Jesús García Galocha,"Mia Pérez Ullod, Jaume Solà, Javier Cassi Gimeno","Two Irish orphans journey by train across America, encountering villains and heroes. They make an extraordinary friend and search for a new home, facing adventures and dangers along the way.",31000,93
Passages,2023,1h 31min,Not Rated,"Drama, Romance",6.6,Ira Sachs,"Franz Rogowski, Ben Whishaw, Adèle Exarchopoulos",A gay couple's marriage is thrown into crisis when one of them impulsively begins a passionate affair with a young woman.,139262,91
The Secret: Dare to Dream,2020,1h 47min,PG,"Drama, Romance",6.5,Andy Tennant,"Katie Holmes, Josh Lucas, Celia Weston","A feature film adaptation of the self-help book, 'The Secret', which focuses on the power of positive thinking.",30000,107
The Serial Cheater,2023,Unknown,Not Rated,Romance,7.9,Thomas L. Harris,"Ciera Angelia, Christopher Collins, Bryan Carstarphen","Jada is tasked with reforming the ""serial cheater"" Jason back to monogamous ways, but things get complicated once feelings get involved.",141963,Unknown
The Croods: A New Age,2020,1h 35min,PG,"Animation, Adventure, Comedy",6.9,Joel Crawford,"Nicolas Cage, Emma Stone, Ryan Reynolds","The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.",123001,95
The King of Staten Island,2020,2h 16min,R,"Comedy, Drama",7.1,Judd Apatow,"Pete Davidson, Bel Powley, Ricky Velez",Scott has been a case of arrested development since his firefighter dad died. He spends his days smoking weed and dreaming of being a tattoo artist until events force him to grapple with his grief and take his first steps forward in life.,30000,136
Buzzheart,2024,1h 50min,Not Rated,Thriller,7.8,Dennis Iliadis,"Evelina Papoulia, Yorgos Liantos, Konstantina Messini","Driven by deep concern for their fragile daughter, her parents subject her boyfriend to shockingly intense and brutal tests, pushing the boundaries of his love to its absolute limits.",31000,110
